timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [1000 mb],Basel Temperature [850 mb],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20140901T0000,13.980529,14.62,5.01,88.0,10.787993,334.29004
20140901T0100,13.5505295,14.18,4.82,91.0,10.805998,330.01837
20140901T0200,13.410529,14.06,4.63,92.0,9.957108,319.3987
20140901T0300,13.190529,13.74,4.14,90.0,11.019764,321.6325
20140901T0400,12.450529,13.21,3.97,93.0,10.514218,321.95297
20140901T0500,12.170529,13.07,3.53,93.0,8.404285,316.73572
20140901T0600,12.160529,12.9,3.42,92.0,9.686609,318.01282
20140901T0700,12.030529,12.7,3.47,92.0,9.220499,321.3402
20140901T0800,12.240529,12.38,4.36,91.0,11.119281,330.94543
20140901T0900,12.5505295,12.5,4.03,89.0,12.303366,339.44397
20140901T1000,13.100529,12.9,4.07,84.0,11.753877,332.65015
20140901T1100,14.610529,13.85,4.16,75.0,12.387348,324.46234
20140901T1200,15.540529,14.68,4.48,69.0,12.599998,323.13013
20140901T1300,16.13053,15.65,4.65,65.0,12.4811535,326.7683
20140901T1400,17.590528,16.52,5.28,59.0,13.493999,350.789
20140901T1500,18.180529,17.18,5.71,58.0,12.371645,351.63412
20140901T1600,18.23053,17.82,5.82,56.0,11.252519,352.64764
20140901T1700,18.72053,18.07,6.24,55.0,12.287555,354.95755
20140901T1800,18.610529,18.27,6.35,55.0,11.159999,360.0
20140901T1900,18.160528,18.24,6.67,56.0,9.3876505,4.398697
20140901T2000,17.180529,17.88,6.7,62.0,5.815978,21.801407
20140901T2100,16.430529,17.44,6.76,67.0,4.32,89.99999
20140901T2200,15.590529,17.25,6.48,71.0,6.792466,122.00538
20140901T2300,14.440529,16.59,6.11,76.0,6.193674,125.537674
20140902T0000,13.270529,15.89,6.06,80.0,4.8965297,126.027374
20140902T0100,12.150529,15.07,6.14,83.0,5.904439,127.56859
20140902T0200,11.280529,14.47,6.12,84.0,5.904439,127.56859
20140902T0300,10.920529,14.25,5.95,82.0,5.6233797,129.80557
20140902T0400,10.440529,13.83,5.69,82.0,4.8965297,126.027374
20140902T0500,10.310529,13.49,5.65,81.0,6.792466,122.00538
20140902T0600,10.120529,13.12,5.49,81.0,6.489992,123.69006
20140902T0700,10.100529,13.01,5.49,82.0,6.792466,122.00538
20140902T0800,10.720529,12.88,5.43,82.0,6.12,118.07248
20140902T0900,12.710529,13.42,5.38,78.0,6.9247384,117.89726
20140902T1000,14.880529,14.64,5.53,74.0,7.342588,101.30993
20140902T1100,16.770529,16.11,5.97,66.0,7.928178,87.39744
20140902T1200,17.82053,16.98,6.21,63.0,7.42159,39.09384
20140902T1300,18.530529,17.57,6.51,61.0,8.557102,14.620865
20140902T1400,19.000528,17.94,6.78,58.0,7.7879906,33.690063
20140902T1500,19.56053,18.54,7.22,57.0,8.161764,41.42366
20140902T1600,20.000528,19.15,7.51,56.0,7.653705,48.81407
20140902T1700,20.180529,19.63,7.43,55.0,7.7879906,56.30993
20140902T1800,20.170528,19.97,7.44,52.0,7.8954163,65.772255
20140902T1900,20.04053,20.37,7.7,52.0,7.968939,71.56504
20140902T2000,19.29053,20.04,7.63,56.0,9.779817,83.65981
20140902T2100,17.32053,18.85,7.76,66.0,9.028754,94.57392
20140902T2200,15.880529,17.79,7.47,71.0,9.0645685,83.15723
20140902T2300,13.890529,16.33,7.18,79.0,7.928178,92.602554
20140903T0000,13.020529,15.73,7.29,82.0,6.12,118.07248
