location,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad
lat,23.04292,23.04292,23.04292,23.04292,23.04292,23.04292
lon,72.54681,72.54681,72.54681,72.54681,72.54681,72.54681
asl,55.400,55.400,55.400,55.400,55.400,55.400
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Ahmedabad Temperature [2 m elevation corrected],Ahmedabad Precipitation Total,Ahmedabad Relative Humidity [2 m],Ahmedabad Mean Sea Level Pressure [MSL],Ahmedabad Wind Speed [10 m],Ahmedabad Wind Gust
20210930T0000,25.456099,1.8,94.0,1003.6,23.838959,31.68
20210930T0100,25.226099,1.7,94.0,1003.9,21.915691,25.56
20210930T0200,25.0161,3.8,95.0,1003.6,17.884428,21.599998
20210930T0300,24.9061,4.8,96.0,1003.6,17.974781,25.56
20210930T0400,25.1461,2.0,95.0,1004.0,19.66536,28.44
20210930T0500,24.976099,0.4,94.0,1005.0,21.578989,33.12
20210930T0600,24.7361,0.0,94.0,1005.7,20.808498,30.960001
20210930T0700,24.796099,0.0,94.0,1006.3,20.68356,28.8
20210930T0800,25.376099,0.0,92.0,1007.4,21.611996,29.88
20210930T0900,26.1061,0.0,89.0,1008.1,22.862123,31.319998
20210930T1000,26.9861,0.0,85.0,1008.1,23.4,31.319998
20210930T1100,27.5361,0.0,82.0,1007.5,22.427162,29.88
20210930T1200,27.886099,0.0,80.0,1007.2,21.9718,28.44
20210930T1300,27.9861,0.0,79.0,1007.1,20.724247,27.359999
20210930T1400,28.9161,0.0,76.0,1006.8,20.523157,26.28
20210930T1500,28.5761,0.0,77.0,1006.5,20.617662,26.28
20210930T1600,28.3361,0.0,77.0,1006.3,20.674158,26.28
20210930T1700,29.6161,0.0,71.0,1006.3,20.880001,26.64
20210930T1800,28.4461,0.0,77.0,1006.9,17.414476,23.759998
20210930T1900,27.6561,0.0,81.0,1007.5,15.893093,21.24
20210930T2000,27.206099,0.0,84.0,1008.3,15.542662,20.519999
20210930T2100,26.8161,0.0,86.0,1009.0,15.111424,19.8
20210930T2200,26.556099,0.0,88.0,1009.3,15.03835,19.08
20210930T2300,26.3661,0.0,89.0,1008.9,13.441071,18.0
20211001T0000,26.206099,0.0,90.0,1008.7,12.287555,16.919998
20211001T0100,26.1161,0.0,91.0,1008.6,11.212135,16.199999
20211001T0200,25.976099,0.0,91.0,1008.1,9.826088,15.84
20211001T0300,25.8261,0.0,92.0,1007.7,9.0,15.119999
20211001T0400,25.6961,0.0,93.0,1007.8,8.225035,14.04
20211001T0500,25.6161,0.0,93.0,1008.6,8.0899935,13.32
20211001T0600,25.5361,0.0,93.0,1009.2,7.386582,12.24
20211001T0700,25.7561,0.0,92.0,1009.9,8.161764,12.599999
20211001T0800,26.386099,0.0,89.0,1010.7,9.1641035,12.959999
20211001T0900,27.296099,0.0,85.0,1011.1,9.290511,12.959999
20211001T1000,28.3961,0.0,78.0,1010.8,9.107359,12.959999
20211001T1100,28.3961,0.0,76.0,1010.0,8.759178,12.599999
20211001T1200,29.0961,0.0,72.0,1009.5,10.1376915,12.959999
20211001T1300,30.726099,0.0,66.0,1008.8,10.086427,13.679999
20211001T1400,31.2561,0.0,63.0,1008.0,10.105681,13.32
20211001T1500,31.1761,0.1,63.0,1007.4,9.422101,11.879999
20211001T1600,31.1061,0.1,63.0,1007.4,7.9932976,10.440001
20211001T1700,32.896103,0.0,53.0,1007.2,8.557102,11.5199995
20211001T1800,32.2461,0.0,54.0,1007.8,6.87779,10.799999
20211001T1900,31.476099,0.0,59.0,1008.4,8.287822,10.799999
20211001T2000,30.386099,0.0,65.0,1009.2,9.36,14.759999
20211001T2100,29.296099,0.0,70.0,1009.9,9.826088,15.84
20211001T2200,28.4261,0.0,72.0,1009.9,9.9571085,16.199999
20211001T2300,27.7861,0.0,73.0,1009.3,9.605998,11.879999
20211002T0000,27.2361,0.0,77.0,1008.9,8.825508,17.28
20211002T0100,26.7561,0.0,83.0,1008.7,8.12197,17.64
20211002T0200,26.386099,0.0,88.0,1008.4,7.771331,13.32
20211002T0300,26.1961,0.0,90.0,1008.1,7.072878,13.32
20211002T0400,25.9861,0.0,90.0,1008.2,6.379216,9.0
20211002T0500,25.716099,0.0,92.0,1009.0,5.634891,6.8399997
20211002T0600,25.476099,0.0,93.0,1009.7,5.3517847,6.12
20211002T0700,26.1661,0.0,90.0,1010.3,4.198285,5.04
20211002T0800,28.1061,0.0,79.0,1011.0,9.605998,9.0
20211002T0900,29.8361,0.0,70.0,1011.0,10.315115,9.36
20211002T1000,31.3561,0.0,64.0,1010.5,10.296251,8.64
20211002T1100,32.3461,0.0,58.0,1009.5,7.928177,6.4799995
20211002T1200,32.4061,0.0,57.0,1008.7,6.3690495,5.04
20211002T1300,32.556103,0.1,56.0,1008.3,6.193674,5.3999996
20211002T1400,32.9561,0.0,53.0,1007.8,5.4833565,3.96
20211002T1500,32.9361,0.2,53.0,1007.2,4.68,3.6
20211002T1600,32.8161,0.2,53.0,1007.1,4.0249224,3.96
20211002T1700,33.6861,0.0,49.0,1006.6,1.08,3.2399998
20211002T1800,33.076103,0.0,51.0,1007.2,4.39436,6.4799995
20211002T1900,32.3361,0.0,56.0,1007.6,7.289445,9.36
20211002T2000,31.4061,0.0,60.0,1008.2,8.427383,9.36
20211002T2100,30.6661,0.0,63.0,1008.9,9.0645685,10.799999
20211002T2200,29.886099,0.0,66.0,1009.1,9.422101,12.24
20211002T2300,28.9061,0.0,71.0,1008.7,9.565437,13.32
20211003T0000,28.1461,0.0,75.0,1008.6,8.891343,11.159999
