location,Chennai,Chennai,Chennai,Chennai,Chennai,Chennai
lat,13.06744,13.06744,13.06744,13.06744,13.06744,13.06744
lon,80.25395,80.25395,80.25395,80.25395,80.25395,80.25395
asl,8.800,8.800,8.800,8.800,8.800,8.800
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Chennai Temperature [2 m elevation corrected],Chennai Precipitation Total,Chennai Relative Humidity [2 m],Chennai Mean Sea Level Pressure [MSL],Chennai Wind Speed [10 m],Chennai Wind Gust
20210930T0000,29.1662,0.0,76.0,1008.3,6.130579,7.92
20210930T0100,29.0362,0.0,76.0,1007.6,6.519877,7.92
20210930T0200,28.8862,0.0,77.0,1007.1,7.42159,8.64
20210930T0300,28.7762,1.2,77.0,1007.0,7.6367526,7.92
20210930T0400,28.7462,1.9,74.0,1007.5,6.489992,8.28
20210930T0500,28.7462,0.5,72.0,1008.0,3.96,4.68
20210930T0600,28.7962,0.0,73.0,1008.6,1.484318,2.8799999
20210930T0700,29.6362,0.0,70.0,1009.5,2.5959969,5.7599998
20210930T0800,29.5762,1.0,68.0,1010.1,1.9386592,5.7599998
20210930T0900,29.9862,0.5,64.0,1010.5,3.563818,6.8399997
20210930T1000,30.7962,0.4,61.0,1009.4,3.219938,6.12
20210930T1100,31.3762,0.2,59.0,1008.4,2.52,5.7599998
20210930T1200,31.7662,0.4,58.0,1007.7,3.396233,6.12
20210930T1300,31.8762,0.4,57.0,1006.8,5.3517847,8.28
20210930T1400,31.7962,0.3,58.0,1006.2,7.2,9.72
20210930T1500,32.0362,0.2,59.0,1005.9,10.195057,12.599999
20210930T1600,31.2062,0.2,63.0,1006.2,12.387348,14.4
20210930T1700,30.7162,0.0,65.0,1006.5,14.021525,12.599999
20210930T1800,29.7362,0.0,71.0,1007.1,12.979984,11.879999
20210930T1900,29.2762,0.0,74.0,1007.9,12.594856,12.24
20210930T2000,28.9662,0.0,77.0,1008.3,12.24,12.24
20210930T2100,28.7262,0.0,79.0,1008.7,11.753877,12.24
20210930T2200,28.5662,0.0,79.0,1008.5,10.948973,10.799999
20210930T2300,28.426199,0.0,78.0,1008.2,10.495713,10.08
20211001T0000,28.2162,0.0,80.0,1008.0,10.009036,9.72
20211001T0100,27.9862,0.0,83.0,1007.1,9.290511,9.72
20211001T0200,27.9862,2.3,79.0,1007.8,11.525623,13.679999
20211001T0300,27.7762,0.9,76.0,1007.4,8.587338,11.159999
20211001T0400,27.4662,0.0,77.0,1008.1,6.3690495,8.64
20211001T0500,27.3362,0.0,79.0,1008.6,4.73506,7.2
20211001T0600,27.4062,0.0,78.0,1009.0,3.396233,4.32
20211001T0700,28.5062,0.0,73.0,1009.4,2.9024127,5.04
20211001T0800,29.6062,0.0,67.0,1009.6,1.609969,7.92
20211001T0900,30.7562,0.0,61.0,1009.7,1.835647,7.92
20211001T1000,31.7562,0.0,57.0,1009.0,5.8603754,12.599999
20211001T1100,32.3562,0.0,55.0,1008.2,9.726665,15.119999
20211001T1200,32.5162,0.0,55.0,1007.5,12.24,15.84
20211001T1300,32.2862,0.0,56.0,1006.5,13.722565,15.4800005
20211001T1400,31.9362,0.0,58.0,1006.0,14.05845,15.119999
20211001T1500,31.346199,0.0,60.0,1005.5,14.759999,15.4800005
20211001T1600,30.5762,0.0,63.0,1006.0,15.119999,15.84
20211001T1700,30.0462,0.0,67.0,1006.3,14.764389,16.56
20211001T1800,29.3562,0.0,71.0,1006.9,12.959999,14.759999
20211001T1900,29.1662,0.0,73.0,1008.1,11.885453,14.04
20211001T2000,28.9562,0.0,74.0,1008.8,11.212135,13.32
20211001T2100,28.7762,0.0,75.0,1009.6,10.594036,11.879999
20211001T2200,28.5862,0.0,76.0,1009.4,9.6932955,10.08
20211001T2300,28.5062,0.0,73.0,1009.0,9.107359,10.08
20211002T0000,28.2962,0.0,73.0,1008.6,7.8625183,8.64
20211002T0100,28.2462,0.1,73.0,1007.9,6.4799995,7.2
20211002T0200,28.1262,0.1,73.0,1007.5,5.2416787,6.8399997
20211002T0300,27.8262,0.0,75.0,1007.1,4.1046314,5.7599998
