location,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad
lat,17.39359,17.39359,17.39359,17.39359,17.39359,17.39359
lon,78.46420,78.46420,78.46420,78.46420,78.46420,78.46420
asl,521.600,521.600,521.600,521.600,521.600,521.600
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Hyderabad Temperature [2 m elevation corrected],Hyderabad Precipitation Total,Hyderabad Relative Humidity [2 m],Hyderabad Mean Sea Level Pressure [MSL],Hyderabad Wind Speed [10 m],Hyderabad Wind Gust
20210930T0000,23.9529,0.0,86.0,1009.3,7.42159,20.880001
20210930T0100,23.5629,0.0,88.0,1008.8,8.209263,19.44
20210930T0200,23.2329,0.0,89.0,1008.6,8.209263,23.039999
20210930T0300,22.9229,0.0,90.0,1008.2,8.473393,16.56
20210930T0400,22.8029,0.0,91.0,1008.7,8.4042845,20.16
20210930T0500,22.7129,0.0,91.0,1009.3,7.9526596,18.0
20210930T0600,22.7129,0.0,91.0,1009.9,8.311245,20.880001
20210930T0700,24.2129,0.0,86.0,1010.8,11.159999,11.159999
20210930T0800,25.7329,0.0,78.0,1011.1,14.05845,11.159999
20210930T0900,26.9529,0.0,72.0,1011.0,14.145756,10.440001
20210930T1000,28.0029,0.0,68.0,1010.5,9.255571,9.36
20210930T1100,28.8229,0.0,65.0,1009.8,8.473393,9.0
20210930T1200,29.2429,0.0,63.0,1009.0,9.826088,10.08
20210930T1300,29.4429,0.0,62.0,1008.0,10.661107,11.5199995
20210930T1400,29.5029,0.0,62.0,1007.5,9.904906,10.440001
20210930T1500,28.6829,0.6,65.0,1007.1,8.0899935,9.0
20210930T1600,28.2529,0.8,67.0,1007.6,4.6102495,6.8399997
20210930T1700,28.4129,0.1,66.0,1007.9,5.154415,7.5599995
20210930T1800,27.9829,0.4,71.0,1008.7,3.8773184,7.2
20210930T1900,27.4629,0.0,72.0,1009.3,4.6938257,5.7599998
20210930T2000,26.9929,0.0,74.0,1009.7,5.3517847,6.8399997
20210930T2100,26.4829,0.0,76.0,1010.4,5.8603754,8.64
20210930T2200,25.9829,0.0,78.0,1010.2,5.3999996,9.72
20210930T2300,25.5329,0.0,80.0,1009.6,4.39436,7.92
20211001T0000,25.1529,0.0,82.0,1009.4,4.2136917,8.64
20211001T0100,24.7629,0.0,83.0,1009.0,5.04,10.799999
20211001T0200,24.2529,0.0,86.0,1008.9,5.8603754,11.879999
