location,Patna,Patna,Patna,Patna,Patna,Patna
lat,25.61087,25.61087,25.61087,25.61087,25.61087,25.61087
lon,85.18255,85.18255,85.18255,85.18255,85.18255,85.18255
asl,44.000,44.000,44.000,44.000,44.000,44.000
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Patna Temperature [2 m elevation corrected],Patna Precipitation Total,Patna Relative Humidity [2 m],Patna Mean Sea Level Pressure [MSL],Patna Wind Speed [10 m],Patna Wind Gust
20210930T0000,27.2715,0.0,77.0,1007.8,12.522619,15.84
20210930T0100,27.151499,0.0,78.0,1007.7,13.797913,18.359999
20210930T0200,27.0115,0.0,79.0,1007.3,15.542662,22.68
20210930T0300,26.2615,0.0,83.0,1007.0,17.698677,25.56
20210930T0400,26.151499,0.0,85.0,1007.3,15.84,23.759998
20210930T0500,25.2915,0.0,90.0,1007.9,13.138765,21.24
20210930T0600,26.0615,0.0,87.0,1008.5,16.24394,23.759998
20210930T0700,27.7315,0.0,79.0,1009.1,19.443333,26.28
20210930T0800,29.4215,0.0,73.0,1009.6,19.8,26.64
20210930T0900,28.9815,0.0,74.0,1009.7,19.08,24.48
20210930T1000,29.5415,0.0,70.0,1009.0,20.532627,25.199999
20210930T1100,29.1815,0.0,71.0,1008.3,21.707731,26.28
20210930T1200,29.3015,0.0,70.0,1007.7,21.841648,25.199999
20210930T1300,30.821499,0.0,66.0,1007.3,21.629978,24.48
20210930T1400,30.2715,0.0,69.0,1006.9,19.513195,21.24
20210930T1500,29.1715,0.0,73.0,1006.6,15.807239,17.64
20210930T1600,29.651499,0.0,71.0,1006.7,14.007655,16.56
20210930T1700,25.911499,0.0,83.0,1007.2,17.654688,19.8
20210930T1800,25.7115,0.0,84.0,1007.9,15.4800005,23.759998
20210930T1900,25.8015,0.0,85.0,1008.5,14.764389,17.64
20210930T2000,26.0815,0.0,85.0,1009.1,13.138765,17.64
20210930T2100,26.2315,0.0,86.0,1009.5,10.739833,15.119999
20210930T2200,26.1015,0.0,87.0,1009.1,9.36,14.759999
20210930T2300,25.9715,0.0,88.0,1008.7,10.538843,15.119999
20211001T0000,25.821499,0.0,88.0,1008.4,11.252519,15.119999
20211001T0100,25.8115,0.0,87.0,1008.3,10.853866,14.759999
20211001T0200,25.7615,0.0,87.0,1007.9,10.805999,12.599999
20211001T0300,25.6415,0.0,88.0,1007.7,10.440001,14.4
20211001T0400,25.5215,0.0,89.0,1008.0,10.799999,11.159999
20211001T0500,25.4715,0.0,89.0,1008.7,10.182337,11.159999
20211001T0600,26.1115,0.0,87.0,1009.3,10.829959,12.24
20211001T0700,27.901499,0.0,80.0,1009.7,10.990322,12.599999
20211001T0800,27.8515,0.5,79.0,1010.0,8.654987,11.5199995
20211001T0900,29.4315,0.3,73.0,1010.0,5.991594,11.5199995
20211001T1000,28.4815,0.0,75.0,1009.2,3.8268526,10.08
20211001T1100,29.1015,0.0,72.0,1008.2,4.2136917,8.28
20211001T1200,29.5215,0.0,70.0,1007.3,5.1544156,7.92
20211001T1300,29.6815,0.0,69.0,1006.9,5.8048253,7.92
20211001T1400,29.7015,0.0,69.0,1006.3,5.2416787,6.4799995
20211001T1500,29.5515,0.0,69.0,1005.9,5.4833565,6.12
20211001T1600,29.8715,0.0,68.0,1006.0,5.2416787,5.7599998
20211001T1700,27.651499,0.0,77.0,1006.6,10.703569,15.84
20211001T1800,27.3615,0.0,79.0,1007.3,7.145796,12.24
20211001T1900,27.3515,0.0,80.0,1007.9,5.991594,14.4
20211001T2000,26.241499,0.2,87.0,1008.7,6.151683,16.919998
20211001T2100,25.4615,0.3,92.0,1009.0,7.5170207,16.919998
20211001T2200,24.9415,3.3,96.0,1008.7,9.085988,14.759999
20211001T2300,24.8515,7.6,96.0,1008.0,10.182337,15.4800005
20211002T0000,24.7815,7.4,97.0,1007.9,11.792404,18.72
20211002T0100,24.6715,3.1,97.0,1007.7,8.217153,16.199999
20211002T0200,24.571499,0.7,97.0,1007.4,5.00128,12.599999
20211002T0300,24.571499,0.0,96.0,1007.1,5.3999996,11.879999
20211002T0400,24.5315,0.0,96.0,1007.3,6.5693827,10.440001
20211002T0500,24.491499,0.0,96.0,1007.7,7.9526596,10.799999
