location,Delhi,Delhi,Delhi,Delhi,Delhi,Delhi
lat,28.69986,28.69986,28.69986,28.69986,28.69986,28.69986
lon,77.22596,77.22596,77.22596,77.22596,77.22596,77.22596
asl,203.800,203.800,203.800,203.800,203.800,203.800
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Delhi Temperature [2 m elevation corrected],Delhi Precipitation Total,Delhi Relative Humidity [2 m],Delhi Mean Sea Level Pressure [MSL],Delhi Wind Speed [10 m],Delhi Wind Gust
20210930T0000,27.659199,0.0,73.0,1008.6,8.891343,15.4800005
20210930T0100,27.1992,0.0,75.0,1008.8,8.217153,15.4800005
20210930T0200,26.7792,0.0,77.0,1008.6,7.729527,14.759999
20210930T0300,26.409199,0.0,79.0,1008.4,7.24486,13.679999
20210930T0400,26.0992,0.0,81.0,1008.8,7.0911775,12.959999
20210930T0500,25.819199,0.0,83.0,1009.4,6.6185193,11.879999
20210930T0600,25.579199,0.0,84.0,1009.8,5.937272,10.440001
20210930T0700,26.6992,0.0,80.0,1010.2,5.6920996,9.0
20210930T0800,28.4392,0.0,74.0,1010.8,8.78872,9.0
20210930T0900,29.649199,0.0,67.0,1011.0,6.763786,7.5599995
20210930T1000,30.6892,0.0,62.0,1010.5,4.6800003,6.4799995
20210930T1100,31.6892,0.0,57.0,1009.8,3.8773184,5.04
20210930T1200,32.4592,0.0,54.0,1009.0,4.5536795,4.68
20210930T1300,33.089203,0.0,51.0,1008.4,4.6800003,4.68
20210930T1400,33.389202,0.0,50.0,1007.7,4.2136917,4.32
20210930T1500,33.3592,0.0,49.0,1007.1,3.7064266,3.96
20210930T1600,33.1492,0.0,50.0,1007.0,3.6,3.96
20210930T1700,33.2092,0.0,48.0,1007.1,7.5685663,7.92
20210930T1800,32.5392,0.0,50.0,1007.4,6.9899354,7.5599995
20210930T1900,31.929201,0.0,53.0,1007.8,7.42159,9.36
20210930T2000,31.2792,0.0,56.0,1008.6,8.049845,10.799999
20210930T2100,30.6992,0.0,59.0,1009.4,8.350138,11.879999
