location,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai
lat,19.04972,19.04972,19.04972,19.04972,19.04972,19.04972
lon,72.87594,72.87594,72.87594,72.87594,72.87594,72.87594
asl,6.200,6.200,6.200,6.200,6.200,6.200
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Mumbai Temperature [2 m elevation corrected],Mumbai Precipitation Total,Mumbai Relative Humidity [2 m],Mumbai Mean Sea Level Pressure [MSL],Mumbai Wind Speed [10 m],Mumbai Wind Gust
20211002T0000,26.5683,0.0,88.0,1009.5,0.35999998,2.16
20211002T0100,26.108301,0.0,90.0,1008.9,1.1384199,2.52
20211002T0200,25.6783,0.0,91.0,1008.6,1.2979984,2.8799999
20211002T0300,25.2383,0.0,93.0,1008.3,1.835647,3.6
20211002T0400,24.8783,0.0,94.0,1008.4,2.16,4.68
20211002T0500,24.6183,0.0,95.0,1008.9,3.4152596,6.4799995
20211002T0600,24.4283,0.0,95.0,1009.3,3.6,7.5599995
20211002T0700,25.2283,0.0,91.0,1010.0,3.396233,7.92
20211002T0800,27.5783,0.0,81.0,1010.4,5.1544156,7.92
20211002T0900,29.5083,0.0,72.0,1010.5,6.130579,7.92
20211002T1000,30.0083,0.3,69.0,1010.0,7.2359104,9.0
20211002T1100,29.768301,0.9,71.0,1009.4,6.725354,8.28
20211002T1200,29.3483,0.6,73.0,1008.8,7.4128532,9.0
20211002T1300,29.1783,0.2,74.0,1008.3,9.387651,9.72
20211002T1400,30.1283,0.0,71.0,1007.8,11.435313,12.24
20211002T1500,30.2383,0.0,70.0,1007.4,12.074766,14.04
20211002T1600,29.9683,0.0,70.0,1007.4,12.879752,13.32
20211002T1700,28.7283,0.0,78.0,1007.5,12.849528,13.679999
20211002T1800,28.0883,0.0,81.0,1008.2,9.3669195,14.04
20211002T1900,27.6983,0.0,84.0,1008.8,7.2805495,15.4800005
20211002T2000,27.3183,0.0,87.0,1009.2,6.696387,14.759999
20211002T2100,26.9783,0.0,89.0,1009.8,7.9036193,16.199999
20211002T2200,26.528301,0.0,91.0,1009.9,7.491114,15.119999
20211002T2300,26.0683,0.1,90.0,1009.1,7.653705,12.959999
20211003T0000,25.7483,0.0,90.0,1008.6,7.386582,14.4
20211003T0100,25.358301,0.0,92.0,1008.5,6.618519,14.04
20211003T0200,25.0783,0.0,93.0,1008.2,6.792466,14.759999
20211003T0300,24.8983,0.0,92.0,1007.9,6.297428,15.119999
20211003T0400,24.7883,0.0,92.0,1007.9,5.495161,14.4
20211003T0500,24.7083,0.0,92.0,1008.5,5.315336,14.04
20211003T0600,24.6583,0.0,92.0,1009.0,5.6920996,14.759999
20211003T0700,25.518301,0.0,89.0,1009.7,5.2416787,15.119999
20211003T0800,27.188301,0.0,80.0,1010.2,6.9899354,11.879999
20211003T0900,28.9983,0.0,75.0,1010.2,10.08,11.5199995
20211003T1000,29.688301,0.5,73.0,1009.9,12.287555,12.599999
20211003T1100,29.3083,0.5,73.0,1009.2,11.659777,11.879999
20211003T1200,29.7183,0.0,72.0,1008.8,12.6462,11.879999
20211003T1300,29.1783,0.1,74.0,1008.3,12.245294,11.879999
20211003T1400,29.8883,0.0,71.0,1007.7,11.212135,10.799999
20211003T1500,29.6583,0.0,72.0,1007.1,10.182337,10.08
20211003T1600,29.9683,0.0,71.0,1006.9,9.826088,9.36
20211003T1700,30.7283,0.0,68.0,1006.3,9.19939,10.440001
20211003T1800,29.7283,0.0,73.0,1006.9,7.9932966,9.36
